control,count,first_appearance,last_appearance
"(-0.33, -1.0, 0, 0.0)",9,3117,8959
"(-0.32, -1.0, 0, 0.0)",11,3119,8961
"(-0.31, -1.0, 0, 0.0)",10,3122,8963
"(-0.3, -1.0, 0, 0.0)",10,3124,8964
"(-0.29, -1.0, 0, 0.0)",12,3127,8966
"(0.16, -1.0, 0, 0.0)",54,3127,7481
"(-0.28, -1.0, 0, 0.0)",13,3130,8968
"(-0.27, -1.0, 0, 0.0)",16,3133,8971
"(-0.26, -1.0, 0, 0.0)",17,3136,8975
"(-0.25, -1.0, 0, 0.0)",29,3140,8978
"(-0.24, -1.0, 0, 0.0)",32,3144,8982
"(0.0, -1.0, 0, 0.0)",274,3146,8866
"(-0.23, -1.0, 0, 0.0)",39,3148,8988
"(-0.22, -1.0, 0, 0.0)",45,3153,8994
"(-0.21, -1.0, 0, 0.0)",60,3159,9002
"(-0.2, -1.0, 0, 0.0)",83,3166,9016
"(-0.19, -1.0, 0, 0.0)",104,3177,9022
"(-1.0, 0.5, 0, 1.0)",788,3244,13325
"(-0.18, 0.5, 0, 1.0)",1222,3324,13182
"(1.0, 0.5, 0, 1.0)",777,3440,13427
"(0.18, 0.5, 0, 1.0)",1111,3461,13381
"(0.3, -0.7, 0, 0.0)",917,3720,12960
"(-0.18, -0.7, 0, 0.0)",105,3744,11885
"(-1.0, 0.1, 0, 0.0)",132,4249,11367
"(-0.3, 0.1, 0, 0.0)",646,4262,11483
"(-0.3, -0.7, 0, 0.0)",1018,4372,13038
"(0.92, -1.0, 0, 0.0)",4,4390,10813
"(0.86, -1.0, 0, 0.0)",4,4391,9623
"(0.3, 0.1, 0, 0.0)",885,4462,12322
"(0.77, -1.0, 0, 0.0)",2,4481,6409
"(0.74, -1.0, 0, 0.0)",1,4483,4483
"(0.54, -1.0, 0, 0.0)",4,4497,9637
"(0.52, -1.0, 0, 0.0)",5,4498,10821
"(-1.0, 0.0, 0, 0.0)",115,4505,8773
"(-1.0, -1.0, 0, 0.0)",6,4516,8774
"(-0.97, -1.0, 0, 0.0)",2,4517,6898
"(-0.93, -1.0, 0, 0.0)",1,4518,4518
"(-0.89, -1.0, 0, 0.0)",1,4519,4519
"(-0.84, -1.0, 0, 0.0)",2,4520,8778
"(-0.8, -1.0, 0, 0.0)",2,4521,6722
"(-0.76, -1.0, 0, 0.0)",4,4522,6902
"(-0.71, -1.0, 0, 0.0)",1,4523,4523
"(-0.67, -1.0, 0, 0.0)",2,4524,4735
"(-0.63, -1.0, 0, 0.0)",2,4525,9050
"(-0.59, -1.0, 0, 0.0)",3,4526,9053
"(-0.56, -1.0, 0, 0.0)",3,4527,9055
"(-0.52, -1.0, 0, 0.0)",4,4528,9057
"(-0.5, -1.0, 0, 0.0)",2,4529,6739
"(-0.99, -1.0, 0, 0.0)",3,4729,8775
"(-0.94, -1.0, 0, 0.0)",1,4730,4730
"(-0.88, -1.0, 0, 0.0)",1,4731,4731
"(-0.83, -1.0, 0, 0.0)",1,4732,4732
"(-0.78, -1.0, 0, 0.0)",2,4733,6721
"(-0.72, -1.0, 0, 0.0)",1,4734,4734
"(-0.62, -1.0, 0, 0.0)",2,4736,6732
"(-0.57, -1.0, 0, 0.0)",3,4737,9054
"(-0.53, -1.0, 0, 0.0)",1,4738,4738
"(-0.49, -1.0, 0, 0.0)",3,4739,9059
"(-0.18, -1.0, 0, 0.0)",79,4772,8902
"(-0.17, -1.0, 0, 0.0)",87,4777,8892
"(-0.16, -1.0, 0, 0.0)",44,4783,8876
"(-0.98, -1.0, 0, 0.0)",1,5320,5320
"(-0.95, -1.0, 0, 0.0)",2,5321,8776
"(0.84, -1.0, 0, 0.0)",1,6405,6405
"(0.75, -1.0, 0, 0.0)",1,6410,6410
"(0.67, -1.0, 0, 0.0)",1,6414,6414
"(0.63, -1.0, 0, 0.0)",2,6416,8400
"(0.6, -1.0, 0, 0.0)",2,6418,9634
"(0.56, -1.0, 0, 0.0)",5,6420,10820
"(-0.77, -1.0, 0, 0.0)",1,6720,6720
"(-0.81, -1.0, 0, 0.0)",3,6723,6901
"(-0.82, -1.0, 0, 0.0)",1,6724,6724
"(-0.79, -1.0, 0, 0.0)",2,6726,8779
"(-0.73, -1.0, 0, 0.0)",1,6728,6728
"(-0.7, -1.0, 0, 0.0)",2,6729,6903
"(-0.66, -1.0, 0, 0.0)",1,6730,6730
"(-0.64, -1.0, 0, 0.0)",3,6731,9049
"(-0.6, -1.0, 0, 0.0)",3,6733,9052
"(-0.58, -1.0, 0, 0.0)",1,6734,6734
"(-0.55, -1.0, 0, 0.0)",2,6736,8784
"(-0.54, -1.0, 0, 0.0)",2,6737,9056
"(-0.92, -1.0, 0, 0.0)",1,6899,6899
"(-0.86, -1.0, 0, 0.0)",1,6900,6900
"(-0.65, -1.0, 0, 0.0)",2,6904,9048
"(1.0, -0.7, 0, 0.0)",10,7964,11704
"(0.18, -0.7, 0, 0.0)",63,8194,10051
"(1.0, 0.1, 0, 0.0)",159,8240,12204
"(0.3, 0.5, 0, 0.0)",20,8267,11833
"(-0.9, -1.0, 0, 0.0)",1,8777,8777
"(-0.74, -1.0, 0, 0.0)",1,8780,8780
"(-0.69, -1.0, 0, 0.0)",1,8781,8781
"(-0.51, -1.0, 0, 0.0)",2,8785,9058
"(1.0, 0.5, 0, 0.0)",37,8966,9002
"(-0.61, -1.0, 0, 0.0)",1,9051,9051
"(-0.18, 0.5, 0, 0.0)",20,9335,9533
"(-0.18, 0.1, 0, 0.0)",30,9536,9617
"(-0.3, 0.5, 0, 0.0)",92,9566,12719
"(0.91, -1.0, 0, 0.0)",2,9618,9619
"(-1.0, -0.7, 0, 0.0)",1,11833,11833
"(-0.44, -1.0, 0, 1.0)",3,13137,13139
"(-0.43, -1.0, 0, 1.0)",4,13140,13143
"(-0.42, -1.0, 0, 1.0)",3,13144,13146
"(-0.41, -1.0, 0, 1.0)",3,13147,13149
"(-0.4, -1.0, 0, 1.0)",2,13150,13151
"(-0.39, -1.0, 0, 1.0)",3,13152,13154
"(-0.38, -1.0, 0, 1.0)",2,13155,13156
"(-0.37, -1.0, 0, 1.0)",2,13157,13158
"(-0.36, -1.0, 0, 1.0)",3,13159,13161
"(-0.35, -1.0, 0, 1.0)",2,13162,13163
"(-0.34, -1.0, 0, 1.0)",2,13164,13165
"(-0.33, -1.0, 0, 1.0)",2,13166,13167
"(-0.32, -1.0, 0, 1.0)",2,13168,13169
"(-0.31, -1.0, 0, 1.0)",2,13170,13171
"(-0.3, -1.0, 0, 1.0)",3,13172,13174
"(-0.29, -1.0, 0, 1.0)",2,13175,13176
"(-0.28, -1.0, 0, 1.0)",2,13177,13178
"(-0.27, -1.0, 0, 1.0)",2,13179,13180
"(-0.26, -1.0, 0, 1.0)",2,13181,13182
"(-0.25, -1.0, 0, 1.0)",3,13183,13185
"(-0.24, -1.0, 0, 1.0)",2,13186,13187
"(-0.23, -1.0, 0, 1.0)",2,13188,13189
"(-0.22, -1.0, 0, 1.0)",3,13190,13192
"(-0.21, -1.0, 0, 1.0)",2,13193,13194
"(-0.2, -1.0, 0, 1.0)",3,13195,13197
"(-0.19, -1.0, 0, 1.0)",2,13198,13199
"(-0.18, -1.0, 0, 1.0)",3,13200,13202
"(-0.17, -1.0, 0, 1.0)",3,13203,13205
"(-0.16, -1.0, 0, 1.0)",1,13206,13206
"(0.0, -1.0, 0, 1.0)",269,13207,13475
